G,Date,Time,Opponent,Result,Overtime,Tm,Opp,W,L,Streak
1,"Tue, Oct 17, 2017",10:30p ET,Houston Rockets,L,no,121,122,0,1,L 1
2,"Fri, Oct 20, 2017",9:30p ET,New Orleans Pelicans,W,no,128,120,1,1,W 1
3,"Sat, Oct 21, 2017",8:00p ET,Memphis Grizzlies,L,no,101,111,1,2,L 1
4,"Mon, Oct 23, 2017",8:30p ET,Dallas Mavericks,W,no,133,103,2,2,W 1
5,"Wed, Oct 25, 2017",10:30p ET,Toronto Raptors,W,no,117,112,3,2,W 2
6,"Fri, Oct 27, 2017",10:30p ET,Washington Wizards,W,no,120,117,4,2,W 3
7,"Sun, Oct 29, 2017",8:30p ET,Detroit Pistons,L,no,107,115,4,3,L 1
8,"Mon, Oct 30, 2017",10:30p ET,Los Angeles Clippers,W,no,141,113,5,3,W 1
9,"Thu, Nov 2, 2017",8:00p ET,San Antonio Spurs,W,no,112,92,6,3,W 2
10,"Sat, Nov 4, 2017",9:00p ET,Denver Nuggets,W,no,127,108,7,3,W 3
11,"Mon, Nov 6, 2017",10:30p ET,Miami Heat,W,no,97,80,8,3,W 4
12,"Wed, Nov 8, 2017",10:30p ET,Minnesota Timberwolves,W,no,125,101,9,3,W 5
13,"Sat, Nov 11, 2017",8:30p ET,Philadelphia 76ers,W,no,135,114,10,3,W 6
14,"Mon, Nov 13, 2017",10:30p ET,Orlando Magic,W,no,110,100,11,3,W 7
15,"Thu, Nov 16, 2017",8:00p ET,Boston Celtics,L,no,88,92,11,4,L 1
16,"Sat, Nov 18, 2017",7:30p ET,Philadelphia 76ers,W,no,124,116,12,4,W 1
17,"Sun, Nov 19, 2017",6:00p ET,Brooklyn Nets,W,no,118,111,13,4,W 2
18,"Wed, Nov 22, 2017",8:00p ET,Oklahoma City Thunder,L,no,91,108,13,5,L 1
19,"Fri, Nov 24, 2017",10:30p ET,Chicago Bulls,W,no,143,94,14,5,W 1
20,"Sat, Nov 25, 2017",8:30p ET,New Orleans Pelicans,W,no,110,95,15,5,W 2
21,"Mon, Nov 27, 2017",10:30p ET,Sacramento Kings,L,no,106,110,15,6,L 1
22,"Wed, Nov 29, 2017",10:30p ET,Los Angeles Lakers,W,yes,127,123,16,6,W 1
23,"Fri, Dec 1, 2017",7:00p ET,Orlando Magic,W,no,133,112,17,6,W 2
24,"Sun, Dec 3, 2017",7:00p ET,Miami Heat,W,no,123,95,18,6,W 3
25,"Mon, Dec 4, 2017",8:00p ET,New Orleans Pelicans,W,no,125,115,19,6,W 4
26,"Wed, Dec 6, 2017",8:00p ET,Charlotte Hornets,W,no,101,87,20,6,W 5
27,"Fri, Dec 8, 2017",7:00p ET,Detroit Pistons,W,no,102,98,21,6,W 6
28,"Mon, Dec 11, 2017",10:30p ET,Portland Trail Blazers,W,no,111,104,22,6,W 7
29,"Thu, Dec 14, 2017",10:30p ET,Dallas Mavericks,W,no,112,97,23,6,W 8
30,"Mon, Dec 18, 2017",10:30p ET,Los Angeles Lakers,W,yes,116,114,24,6,W 9
31,"Wed, Dec 20, 2017",10:30p ET,Memphis Grizzlies,W,no,97,84,25,6,W 10
32,"Fri, Dec 22, 2017",10:30p ET,Los Angeles Lakers,W,no,113,106,26,6,W 11
